evento_id,nombre,categorias,descripcion_breve,latitud,longitud,direccion,calificaciones,fecha_inicio,fecha_fin,hora_inicio,hora_fin,precio,redes_sociales,target_etario,estacionamiento,wifi,distrito,tags
38,Concierto,"Música,Concierto",Disfruta de un concierto en vivo con tus artistas favoritos.,-12.152525,-76.965197,Dirección #38,3.5,2024-10-15,2024-10-17,09:00,12:00,40,fb.com/concierto,18-65,False,False,santiago de surco,"Música en vivo,Ambiente juvenil"
39,Festival Gastronómico,"Comida,Festival",Prueba los mejores platillos en el festival gastronómico.,-12.166396,-77.002877,Dirección #39,4.2,2024-06-10,2024-06-10,08:00,09:00,500,fb.com/festivalgastronómico,18-40,False,True,santiago de surco,"Comida,Gastronomía"
40,Carrera de 5K,"Deportes,Salud",Participa en una carrera de 5K para mantenerte en forma.,-12.15966,-76.994514,Dirección #40,4.2,2024-08-12,2024-08-14,08:00,10:00,40,fb.com/carrerade5k,18-40,True,True,santiago de surco,"Deporte,Salud"
41,Obra de Teatro,"Cultura,Teatro",Disfruta de una obra de teatro con los mejores actores.,-12.13912,-76.990183,Dirección #41,3.9,2024-06-07,2024-06-09,13:00,14:00,40,fb.com/obradeteatro,18-65,False,True,santiago de surco,"Teatro,Cultura"
42,Concierto,"Música,Concierto",Disfruta de un concierto en vivo con tus artistas favoritos.,-12.175169,-77.019575,Dirección #42,4.2,2024-06-05,2024-06-05,10:00,12:00,40,fb.com/concierto,18-65,True,False,lima este,"Música en vivo,Ambiente juvenil"
43,Feria de Emprendedores,"Negocios,Innovación",Conoce los emprendimientos más innovadores en la feria.,-12.111652,-76.964549,Dirección #43,2.9,2024-09-01,2024-09-01,15:00,19:00,0,fb.com/feriadeemprendedores,18-40,False,True,santiago de surco,"Emprendimiento,Negocios"
44,Exposición de Arte,"Arte,Cultura",Descubre las últimas tendencias en arte en una exposición.,-12.136899,-77.009603,Dirección #44,4.2,2024-05-14,2024-05-15,10:00,14:00,500,fb.com/exposicióndearte,18-40,False,False,santiago de surco,"Arte,Cultura"
45,Exposición de Arte,"Arte,Cultura",Descubre las últimas tendencias en arte en una exposición.,-12.108874,-76.99105,Dirección #45,5.3,2024-06-01,2024-06-02,14:00,17:00,20,fb.com/exposicióndearte,25-50,False,True,santiago de surco,"Arte,Cultura"
46,Exposición de Arte,"Arte,Cultura",Descubre las últimas tendencias en arte en una exposición.,-12.119637,-76.992607,Dirección #46,4.0,2024-07-06,2024-07-06,20:00,21:00,20,fb.com/exposicióndearte,25-50,True,True,santiago de surco,"Arte,Cultura"
47,Conferencia de Tecnología,"Educación,Tecnología",Aprende sobre tecnología en una conferencia especializada.,-12.116737,-76.962734,Dirección #47,4.5,2024-10-18,2024-10-19,17:00,20:00,500,fb.com/conferenciadetecnología,18-40,True,True,santiago de surco,"Tecnología,Educación"
48,Conferencia de Tecnología,"Educación,Tecnología",Aprende sobre tecnología en una conferencia especializada.,-12.124114,-77.012989,Dirección #48,3.2,2024-08-06,2024-08-07,15:00,16:00,40,fb.com/conferenciadetecnología,25-50,True,False,santiago de surco,"Tecnología,Educación"
49,Concierto,"Música,Concierto",Disfruta de un concierto en vivo con tus artistas favoritos.,-12.134247,-77.009993,Dirección #49,3.8,2024-07-14,2024-07-14,11:00,13:00,60,fb.com/concierto,18-40,True,False,santiago de surco,"Música en vivo,Ambiente juvenil"
50,Taller de Fotografía,"Arte,Educativo",Aprende técnicas de fotografía en un taller especializado.,-12.100727,-76.981537,Dirección #50,4.6,2024-08-31,2024-08-31,19:00,20:00,20,fb.com/tallerdefotografía,18-65,False,True,santiago de surco,"Fotografía,Arte"
51,Feria del Libro,"Cultura,Libros",Descubre las últimas novedades literarias en la feria del libro.,-12.116518,-76.977815,Dirección #51,4.0,2024-05-08,2024-05-10,11:00,13:00,500,fb.com/feriadellibro,25-50,False,False,santiago de surco,"Libros,Cultura"
52,Feria de Emprendedores,"Negocios,Innovación",Conoce los emprendimientos más innovadores en la feria.,-12.111398,-76.980237,Dirección #52,4.7,2024-09-23,2024-09-24,17:00,21:00,0,fb.com/feriadeemprendedores,25-50,True,False,santiago de surco,"Emprendimiento,Negocios"
53,Concierto,"Música,Concierto",Disfruta de un concierto en vivo con tus artistas favoritos.,-12.102988,-76.984626,Dirección #53,3.8,2024-07-24,2024-07-25,08:00,12:00,500,fb.com/concierto,18-65,False,False,santiago de surco,"Música en vivo,Ambiente juvenil"
54,Exposición de Arte,"Arte,Cultura",Descubre las últimas tendencias en arte en una exposición.,-12.149279,-77.004232,Dirección #54,3.9,2024-09-25,2024-09-26,14:00,18:00,0,fb.com/exposicióndearte,18-65,False,True,santiago de surco,"Arte,Cultura"
55,Carrera de 5K,"Deportes,Salud",Participa en una carrera de 5K para mantenerte en forma.,-12.170027,-76.974363,Dirección #55,3.5,2024-06-20,2024-06-20,20:00,21:00,40,fb.com/carrerade5k,18-40,True,False,santiago de surco,"Deporte,Salud"
56,Carrera de 5K,"Deportes,Salud",Participa en una carrera de 5K para mantenerte en forma.,-12.105273,-77.002855,Dirección #56,4.5,2024-10-24,2024-10-25,16:00,19:00,20,fb.com/carrerade5k,18-40,True,False,santiago de surco,"Deporte,Salud"
57,Noche de Karaoke,"Entretenimiento,Música",Canta tus canciones favoritas en una noche de karaoke.,-12.163754,-76.995978,Dirección #57,4.6,2024-08-05,2024-08-05,13:00,14:00,60,fb.com/nochedekaraoke,18-65,False,True,santiago de surco,"Karaoke,Música"
58,Concierto,"Música,Concierto",Disfruta de un concierto en vivo con tus artistas favoritos.,-12.136251,-77.010358,Dirección #58,3.9,2024-08-04,2024-08-04,10:00,12:00,100,fb.com/concierto,25-50,True,False,santiago de surco,"Música en vivo,Ambiente juvenil"
59,Exposición de Arte,"Arte,Cultura",Descubre las últimas tendencias en arte en una exposición.,-12.108955,-76.987077,Dirección #59,3.6,2024-05-29,2024-05-29,10:00,14:00,20,fb.com/exposicióndearte,25-50,True,True,santiago de surco,"Arte,Cultura"
60,Exposición de Arte,"Arte,Cultura",Descubre las últimas tendencias en arte en una exposición.,-12.118,-76.990946,Dirección #60,4.0,2024-09-28,2024-09-28,16:00,20:00,500,fb.com/exposicióndearte,18-40,False,False,santiago de surco,"Arte,Cultura"
61,Feria del Libro,"Cultura,Libros",Descubre las últimas novedades literarias en la feria del libro.,-12.157906,-77.01262,Dirección #61,4.1,2024-10-02,2024-10-04,10:00,13:00,0,fb.com/feriadellibro,18-40,True,False,santiago de surco,"Libros,Cultura"
62,Taller de Fotografía,"Arte,Educativo",Aprende técnicas de fotografía en un taller especializado.,-12.100609,-77.009011,Dirección #62,3.7,2024-06-23,2024-06-23,14:00,15:00,0,fb.com/tallerdefotografía,25-50,False,True,santiago de surco,"Fotografía,Arte"
63,Obra de Teatro,"Cultura,Teatro",Disfruta de una obra de teatro con los mejores actores.,-12.170004,-77.005428,Dirección #63,3.3,2024-05-10,2024-05-10,10:00,14:00,100,fb.com/obradeteatro,18-65,True,False,santiago de surco,"Teatro,Cultura"
64,Festival Gastronómico,"Comida,Festival",Prueba los mejores platillos en el festival gastronómico.,-12.179117,-77.00443,Dirección #64,4.1,2024-05-19,2024-05-20,17:00,21:00,60,fb.com/festivalgastronómico,18-65,False,True,lima este,"Comida,Gastronomía"
65,Festival Gastronómico,"Comida,Festival",Prueba los mejores platillos en el festival gastronómico.,-12.166315,-76.994497,Dirección #65,4.6,2024-09-12,2024-09-12,19:00,21:00,0,fb.com/festivalgastronómico,18-65,False,False,santiago de surco,"Comida,Gastronomía"
66,Taller de Fotografía,"Arte,Educativo",Aprende técnicas de fotografía en un taller especializado.,-12.101188,-76.987892,Dirección #66,4.5,2024-10-10,2024-10-10,15:00,19:00,0,fb.com/tallerdefotografía,18-40,False,False,santiago de surco,"Fotografía,Arte"
67,Concierto,"Música,Concierto",Disfruta de un concierto en vivo con tus artistas favoritos.,-12.138675,-77.019287,Dirección #67,4.0,2024-08-05,2024-08-05,20:00,24:00,0,fb.com/concierto,18-40,False,False,barranco,"Música en vivo,Ambiente juvenil"
68,Festival Gastronómico,"Comida,Festival",Prueba los mejores platillos en el festival gastronómico.,-12.111135,-76.973141,Dirección #68,4.0,2024-07-06,2024-07-08,12:00,14:00,60,fb.com/festivalgastronómico,18-40,False,False,santiago de surco,"Comida,Gastronomía"
69,Concierto,"Música,Concierto",Disfruta de un concierto en vivo con tus artistas favoritos.,-12.114599,-76.997977,Dirección #69,3.8,2024-10-02,2024-10-02,08:00,10:00,100,fb.com/concierto,18-40,False,False,santiago de surco,"Música en vivo,Ambiente juvenil"
70,Conferencia de Tecnología,"Educación,Tecnología",Aprende sobre tecnología en una conferencia especializada.,-12.130916,-76.96064,Dirección #70,3.4,2024-05-20,2024-05-20,18:00,20:00,60,fb.com/conferenciadetecnología,25-50,True,True,santiago de surco,"Tecnología,Educación"
71,Obra de Teatro,"Cultura,Teatro",Disfruta de una obra de teatro con los mejores actores.,-12.118843,-76.987595,Dirección #71,4.1,2024-07-27,2024-07-29,16:00,20:00,20,fb.com/obradeteatro,18-65,False,True,santiago de surco,"Teatro,Cultura"
72,Feria del Libro,"Cultura,Libros",Descubre las últimas novedades literarias en la feria del libro.,-12.129263,-76.986616,Dirección #72,3.8,2024-09-03,2024-09-05,11:00,13:00,500,fb.com/feriadellibro,25-50,True,False,santiago de surco,"Libros,Cultura"
73,Conferencia de Tecnología,"Educación,Tecnología",Aprende sobre tecnología en una conferencia especializada.,-12.169638,-76.963392,Dirección #73,4.1,2024-07-12,2024-07-12,18:00,21:00,500,fb.com/conferenciadetecnología,18-65,True,True,santiago de surco,"Tecnología,Educación"
74,Festival Gastronómico,"Comida,Festival",Prueba los mejores platillos en el festival gastronómico.,-12.118322,-77.008325,Dirección #74,3.9,2024-05-28,2024-05-29,09:00,10:00,0,fb.com/festivalgastronómico,25-50,False,False,santiago de surco,"Comida,Gastronomía"
75,Exposición de Arte,"Arte,Cultura",Descubre las últimas tendencias en arte en una exposición.,-12.138428,-77.019595,Dirección #75,4.7,2024-05-21,2024-05-22,20:00,24:00,500,fb.com/exposicióndearte,18-65,False,False,barranco,"Arte,Cultura"
76,Exposición de Arte,"Arte,Cultura",Descubre las últimas tendencias en arte en una exposición.,-12.161054,-76.992337,Dirección #76,3.5,2024-07-27,2024-07-29,11:00,12:00,500,fb.com/exposicióndearte,25-50,True,False,santiago de surco,"Arte,Cultura"
77,Taller de Fotografía,"Arte,Educativo",Aprende técnicas de fotografía en un taller especializado.,-12.173386,-76.964378,Dirección #77,3.5,2024-07-29,2024-07-30,16:00,19:00,40,fb.com/tallerdefotografía,25-50,True,False,santiago de surco,"Fotografía,Arte"
78,Concierto,"Música,Concierto",Disfruta de un concierto en vivo con tus artistas favoritos.,-12.132315,-76.961212,Dirección #78,3.6,2024-08-30,2024-08-31,16:00,18:00,500,fb.com/concierto,18-65,False,False,santiago de surco,"Música en vivo,Ambiente juvenil"
79,Taller de Fotografía,"Arte,Educativo",Aprende técnicas de fotografía en un taller especializado.,-12.107339,-76.991726,Dirección #79,4.0,2024-10-22,2024-10-22,09:00,13:00,40,fb.com/tallerdefotografía,25-50,True,True,santiago de surco,"Fotografía,Arte"
80,Feria del Libro,"Cultura,Libros",Descubre las últimas novedades literarias en la feria del libro.,-12.140949,-76.969349,Dirección #80,3.5,2024-10-27,2024-10-29,08:00,10:00,60,fb.com/feriadellibro,18-40,True,True,santiago de surco,"Libros,Cultura"
81,Festival Gastronómico,"Comida,Festival",Prueba los mejores platillos en el festival gastronómico.,-12.116933,-76.960278,Dirección #81,4.4,2024-06-07,2024-06-09,14:00,15:00,40,fb.com/festivalgastronómico,18-40,True,False,santiago de surco,"Comida,Gastronomía"
82,Feria del Libro,"Cultura,Libros",Descubre las últimas novedades literarias en la feria del libro.,-12.155832,-76.978914,Dirección #82,3.2,2024-09-28,2024-09-28,10:00,11:00,60,fb.com/feriadellibro,18-40,True,False,santiago de surco,"Libros,Cultura"
83,Feria de Emprendedores,"Negocios,Innovación",Conoce los emprendimientos más innovadores en la feria.,-12.122434,-76.976298,Dirección #83,3.1,2024-07-10,2024-07-11,08:00,11:00,500,fb.com/feriadeemprendedores,18-65,False,False,santiago de surco,"Emprendimiento,Negocios"
84,Concierto,"Música,Concierto",Disfruta de un concierto en vivo con tus artistas favoritos.,-12.150124,-76.985461,Dirección #84,4.2,2024-07-16,2024-07-18,17:00,21:00,40,fb.com/concierto,25-50,False,False,santiago de surco,"Música en vivo,Ambiente juvenil"
85,Conferencia de Tecnología,"Educación,Tecnología",Aprende sobre tecnología en una conferencia especializada.,-12.159448,-76.976944,Dirección #85,3.6,2024-05-24,2024-05-25,12:00,13:00,100,fb.com/conferenciadetecnología,25-50,False,True,santiago de surco,"Tecnología,Educación"
86,Feria del Libro,"Cultura,Libros",Descubre las últimas novedades literarias en la feria del libro.,-12.163144,-76.997382,Dirección #86,4.1,2024-09-08,2024-09-09,18:00,19:00,0,fb.com/feriadellibro,18-40,False,False,santiago de surco,"Libros,Cultura"
87,Feria del Libro,"Cultura,Libros",Descubre las últimas novedades literarias en la feria del libro.,-12.129977,-76.965517,Dirección #87,4.1,2024-09-28,2024-09-30,18:00,19:00,100,fb.com/feriadellibro,18-40,False,False,santiago de surco,"Libros,Cultura"
88,Taller de Fotografía,"Arte,Educativo",Aprende técnicas de fotografía en un taller especializado.,-12.167795,-76.992262,Dirección #88,3.1,2024-09-25,2024-09-26,09:00,11:00,20,fb.com/tallerdefotografía,18-65,False,True,santiago de surco,"Fotografía,Arte"
89,Concierto,"Música,Concierto",Disfruta de un concierto en vivo con tus artistas favoritos.,-12.170279,-76.989505,Dirección #89,4.6,2024-10-01,2024-10-02,13:00,14:00,100,fb.com/concierto,18-40,False,False,santiago de surco,"Música en vivo,Ambiente juvenil"
90,Obra de Teatro,"Cultura,Teatro",Disfruta de una obra de teatro con los mejores actores.,-12.142403,-77.014633,Dirección #90,3.9,2024-09-23,2024-09-25,12:00,13:00,20,fb.com/obradeteatro,25-50,True,False,santiago de surco,"Teatro,Cultura"
91,Concierto,"Música,Concierto",Disfruta de un concierto en vivo con tus artistas favoritos.,-12.101592,-77.012952,Dirección #91,3.6,2024-06-14,2024-06-16,14:00,16:00,60,fb.com/concierto,18-40,False,False,santiago de surco,"Música en vivo,Ambiente juvenil"
92,Festival Gastronómico,"Comida,Festival",Prueba los mejores platillos en el festival gastronómico.,-12.166805,-76.977157,Dirección #92,4.5,2024-09-05,2024-09-06,15:00,16:00,100,fb.com/festivalgastronómico,18-65,True,False,santiago de surco,"Comida,Gastronomía"
93,Feria de Emprendedores,"Negocios,Innovación",Conoce los emprendimientos más innovadores en la feria.,-12.168339,-76.974448,Dirección #93,5.1,2024-08-27,2024-08-27,20:00,24:00,100,fb.com/feriadeemprendedores,18-40,True,True,santiago de surco,"Emprendimiento,Negocios"
94,Feria de Emprendedores,"Negocios,Innovación",Conoce los emprendimientos más innovadores en la feria.,-12.150263,-76.968146,Dirección #94,4.1,2024-05-27,2024-05-27,16:00,17:00,500,fb.com/feriadeemprendedores,18-65,True,False,santiago de surco,"Emprendimiento,Negocios"
95,Concierto,"Música,Concierto",Disfruta de un concierto en vivo con tus artistas favoritos.,-12.17253,-76.98117,Dirección #95,3.9,2024-07-10,2024-07-10,15:00,17:00,40,fb.com/concierto,18-65,False,False,santiago de surco,"Música en vivo,Ambiente juvenil"
96,Taller de Fotografía,"Arte,Educativo",Aprende técnicas de fotografía en un taller especializado.,-12.15268,-76.966801,Dirección #96,3.4,2024-08-25,2024-08-25,11:00,15:00,20,fb.com/tallerdefotografía,25-50,False,False,santiago de surco,"Fotografía,Arte"
97,Exposición de Arte,"Arte,Cultura",Descubre las últimas tendencias en arte en una exposición.,-12.129574,-76.96729,Dirección #97,4.6,2024-05-07,2024-05-07,18:00,19:00,40,fb.com/exposicióndearte,18-40,True,True,santiago de surco,"Arte,Cultura"
98,Feria de Emprendedores,"Negocios,Innovación",Conoce los emprendimientos más innovadores en la feria.,-12.146003,-76.995979,Dirección #98,4.7,2024-07-27,2024-07-27,11:00,13:00,500,fb.com/feriadeemprendedores,25-50,False,False,santiago de surco,"Emprendimiento,Negocios"
99,Noche de Karaoke,"Entretenimiento,Música",Canta tus canciones favoritas en una noche de karaoke.,-12.135978,-76.997107,Dirección #99,4.2,2024-06-15,2024-06-15,10:00,12:00,40,fb.com/nochedekaraoke,18-65,True,True,santiago de surco,"Karaoke,Música"
100,Obra de Teatro,"Cultura,Teatro",Disfruta de una obra de teatro con los mejores actores.,-12.116176,-76.967738,Dirección #100,3.7,2024-08-11,2024-08-11,18:00,19:00,40,fb.com/obradeteatro,18-65,True,True,santiago de surco,"Teatro,Cultura"
