tienda_id,nombre,categorias,latitud,longitud,direccion,calificaciones,rango_precios,metodos_pago,tamano_tienda,estacionamiento,horario_apertura,distrito,zona
30,Veterinaria Gonzalez VES,veterinary_care,-12.2091781,-76.9456822,"Avenida Micaela Bastidas 1547, Lima",4.3,Bajo,Tarjeta de crédito,Pequeña,No,Horario laboral,Desconocido,Desconocido
31,Sabor Y Punto Restaurante Cebicheria,"restaurant, food",-12.209178,-76.94568199999999,"Distrito de, Avenida Micaela Bastidas 1565, Distrito de Lima",3.5,Bajo,QR,Mediana,Sí,24 horas,Desconocido,Desconocido
32,Al compás de tu alma,"gym, health",-12.2080648,-76.9462674,"Q3R3+QGJ, Lima",4.28,Bajo,Efectivo,Pequeña,Sí,24 horas,Desconocido,Desconocido
33,Psicomedica Clínica de la Emoción,"doctor, health",-12.2089439,-76.9403092,Villa El Salvador,4.08,Medio,Transferencia,Pequeña,No,24 horas,Villa el Salvador,Lima Sur
34,SERVICIO TECNICO DE CELULARES DENNIS,"electronics_store, store",-12.2086341,-76.9399193,"Avenida Revolucion, Cercado de Lima",4.06,Medio,Tarjeta de crédito,Mediana,Sí,Horario laboral,Cercado de Lima,Lima Centro
35,Farmacia Farmanova,"pharmacy, store, health",-12.2079674,-76.940112,Q3R5+RX6,4.0,Medio,Tarjeta de crédito,Pequeña,No,24 horas,Desconocido,Desconocido
36,Las Delicias,"bakery, food, store",-12.2079027,-76.93982369999999,"Avenida Revolucion 1693, Lima",4.1,Bajo,Efectivo,Mediana,No,24 horas,Desconocido,Desconocido
37,Poison Tattoo,store,-12.2068237,-76.9404174,"cruce pasaje, Av Revolucion & Villa el Salvador, Lima",4.8,Medio,Efectivo,Pequeña,No,Fines de semana,Villa el Salvador,Lima Sur
38,Tambo+ Revolución,"convenience_store, food, store",-12.2092635,-76.9393278,Sec. Segundo Grpo Res.14 Mza. B Lote. 9 P.J. Villa El Salvador (1Er Piso Lima L Revolución,3.8,Medio,Efectivo,Mediana,No,24 horas,Villa el Salvador,Lima Sur
39,Xiaomi Peru SSIGA,"electronics_store, store",-12.2095787,-76.9391287,"MZ B LT 13 GRUPO 14 SECTOR 2, AV. REVOLUCION 1774, a 4 casas de polleria NORKYS DE REVOLUCION, Villa el Salvador",4.8,Bajo,Transferencia,Pequeña,No,24 horas,Villa el Salvador,Lima Sur
40,EL MUNDO DEL BEBÉ FELIZ,"clothing_store, store",-12.2060983,-76.9409493,"Avenida Revolucion 122, Villa EL Salvador",3.8,Medio,Efectivo,Pequeña,No,24 horas,Villa el Salvador,Lima Sur
41,B2 Villa el Salvador,"shoe_store, store",-12.2094558,-76.9385745,"Av. revolución cuadra 17 Grupo 09 Sector 02 Mz M Lte 22, Avenida Revolucion, Villa EL Salvador",3.9,Medio,Efectivo,Pequeña,No,24 horas,Villa el Salvador,Lima Sur
42,Tai Loy Mayorista Villa el Salvador,store,-12.2098699,-76.93863859999999,"Cuadra 18, Mz. J Grupo Residencial 9, Avenida Revolucion, Villa EL Salvador",3.7,Medio,Efectivo,Pequeña,Sí,Horario laboral,Villa el Salvador,Lima Sur
43,Lancenter Jamnet,"convenience_store, food, store",-12.2055786,-76.9409572,"Calle 6 N lote 20, Villa EL Salvador",3.9,Medio,Transferencia,Pequeña,No,Horario laboral,Villa el Salvador,Lima Sur
44,NarcoGraff,"liquor_store, store",-12.212102,-76.9399103,"Avenida Jorge Chavez 11, Lima",4.3,Bajo,Efectivo,Pequeña,Sí,24 horas,Desconocido,Desconocido
45,Show Infantil Chavez,Sin Categoría,-12.205028,-76.9404121,"Arriba Peru 715, Lima",5.0,Medio,QR,Grande,No,24 horas,Desconocido,Desconocido
46,Selene,"hair_care, spa",-12.2045065,-76.9418731,"Avenida Revolucion 743, Villa EL Salvador",4.2,Medio,QR,Pequeña,Sí,Fines de semana,Villa el Salvador,Lima Sur
47,S.I. 6065 Peru England,school,-12.2072196,-76.9415643,"Q3V5+497, Arriba Peru, Lima",3.9,Alto,Efectivo,Mediana,No,Horario laboral,Desconocido,Desconocido
48,Restaurante el Pulpo,"restaurant, food",-12.208985,-76.941789,"Avenida Juan Velasco Alvarado 15831, Villa EL Salvador",4.36,Alto,Transferencia,Mediana,Sí,Fines de semana,Villa el Salvador,Lima Sur
49,SEA PARADISE,"restaurant, food",-12.2090316,-76.94168379999999,"Avenida Juan Velasco Alvarado 850, Lima",4.36,Alto,Tarjeta de crédito,Pequeña,No,Horario laboral,Desconocido,Desconocido
50,Hami Salón,Sin Categoría,-12.2090667,-76.9417902,"Avenida Juan Velasco Alvarado 948, Lima",4.459999999999999,Bajo,Efectivo,Grande,Sí,Horario laboral,Desconocido,Desconocido
51,Restaurante Vegetariano ¨Semillas de Salud¨,"restaurant, food",-12.2090682,-76.94178610000002,"Avenida Juan Velasco Alvarado 948, Villa EL Salvador",4.6,Medio,Efectivo,Pequeña,No,Horario laboral,Villa el Salvador,Lima Sur
52,Materiales Para Techos,Sin Categoría,-12.2091031,-76.9418287,"Q3R5+97G, Avenida Juan Velasco Alvarado 948, Villa EL Salvador",4.299999999999999,Medio,Transferencia,Pequeña,No,24 horas,Villa el Salvador,Lima Sur
53,Basquet,Sin Categoría,-12.2085531,-76.9418508,"Avenida Juan Velasco Alvarado 916, Villa EL Salvador",4.459999999999999,Medio,Transferencia,Mediana,Sí,24 horas,Villa el Salvador,Lima Sur
54,Bodega Eva,"grocery_or_supermarket, food, store",-12.2088647,-76.94212279999999,"Q3R5+F52, I, Villa EL Salvador",5.0,Medio,Tarjeta de crédito,Mediana,Sí,Horario laboral,Villa el Salvador,Lima Sur
55,Western Union,finance,-12.2088104,-76.9414334,"Avenida Juan Velasco Alvarado 922, Villa EL Salvador",4.58,Medio,Transferencia,Grande,No,Horario laboral,Villa el Salvador,Lima Sur
56,D.k. Servicios Generales,general_contractor,-12.2087233,-76.942123,Lima Gobierno Regional de Lima,4.5,Bajo,Tarjeta de crédito,Pequeña,Sí,Fines de semana,Desconocido,Desconocido
57,Pollería Los Álamos,"restaurant, food",-12.2091721,-76.94193159999999,"Avenida Juan Velasco Alvarado 978, Villa EL Salvador",4.5,Medio,Tarjeta de crédito,Pequeña,No,Fines de semana,Villa el Salvador,Lima Sur
58,Ferreteria Peru,"hardware_store, store",-12.2088222,-76.9413584,Avenida Juan Velasco Alvarado 916,4.58,Medio,Efectivo,Pequeña,No,24 horas,Desconocido,Desconocido
59,Bodegas Peru,Sin Categoría,-12.2088207,-76.9413549,"Q3R5+FFC, Avenida Juan Velasco Alvarado, Villa EL Salvador",4.58,Medio,Efectivo,Pequeña,Sí,Horario laboral,Villa el Salvador,Lima Sur
60,Juancito Motos,store,-12.2092044,-76.94202349999999,"Avenida Juan Velasco Alvarado 972, Villa EL Salvador",4.2,Medio,Efectivo,Pequeña,No,Fines de semana,Villa el Salvador,Lima Sur
61,Polleria Chifa Long Wei,"restaurant, food",-12.2087925,-76.94131089999999,"Avenida Juan Velasco Alvarado 928, Villa EL Salvador",4.58,Medio,Efectivo,Pequeña,Sí,24 horas,Villa el Salvador,Lima Sur
62,Muebles,real_estate_agency,-12.2091706,-76.9414267,"Q3R5+8CP, Villa el Salvador",5.0,Alto,QR,Mediana,Sí,Horario laboral,Villa el Salvador,Lima Sur
63,FERRETERÍA VILLA CENTER,"hardware_store, store",-12.2092235,-76.9420779,"Avenida Juan Velasco Alvarado 782, Villa EL Salvador",4.0,Medio,QR,Mediana,No,Fines de semana,Villa el Salvador,Lima Sur
64,Taller Duran,car_repair,-12.2083635,-76.94182990000002,"Q3R5+M73, Unnamed Road, Lima",4.2,Medio,Tarjeta de crédito,Pequeña,Sí,24 horas,Desconocido,Desconocido
65,La Bendita Pizza,"meal_delivery, restaurant, food",-12.2087671,-76.941267,"Sector 9, grupo 5, Mz D Lt 28, Avenida Juan Velasco Alvarado 928, Villa EL Salvador",4.8,Medio,Transferencia,Pequeña,No,Horario laboral,Villa el Salvador,Lima Sur
66,Bilbo peluqueria canina,Sin Categoría,-12.2084606,-76.941378,"Sector 2, Grupo 13, Manzana H, Lote 10, Villa EL Salvador",5.0,Alto,Efectivo,Grande,No,24 horas,Villa el Salvador,Lima Sur
67,Sangucheria-Jugueria Willy,"restaurant, food",-12.2092861,-76.9421496,"Q3R5+74Q, Avenida Juan Velasco Alvarado, Lima",4.2,Medio,Efectivo,Mediana,No,Horario laboral,Desconocido,Desconocido
68,"Juan Velasco Alvarado, 1036",transit_station,-12.20932,-76.94214,Peru,3.96,Medio,Efectivo,Mediana,No,Horario laboral,Desconocido,Desconocido
69,Estimulacion Kid´s World,school,-12.209318,-76.9421922,"054, Villa EL Salvador",3.96,Medio,Transferencia,Pequeña,No,Horario laboral,Villa el Salvador,Lima Sur
70,Colegio Privado Villarreal Ugel V.E.S.,school,-12.2090522,-76.9423901,"Avenida los Alamos 1576, Lima",4.22,Bajo,Tarjeta de crédito,Pequeña,No,Horario laboral,Desconocido,Desconocido
71,Contec Security SAC,Sin Categoría,-12.2086726,-76.94114359999999,"Mz G, Lote 17, Villa EL Salvador",4.5,Medio,Efectivo,Mediana,Sí,Horario laboral,Villa el Salvador,Lima Sur
72,Oasis de amor - comunidad cristiana,place_of_worship,-12.2088336,-76.94244119999999,"Avenida los Alamos 1855, Lima",3.98,Bajo,Efectivo,Pequeña,No,Horario laboral,Desconocido,Desconocido
73,Restaurante Cevichería Sabor Perú,"restaurant, food",-12.2093504,-76.9422488,"Q3R5+742, Avenida Juan Velasco Alvarado, Distrito de Lima",3.7,Medio,Transferencia,Pequeña,No,24 horas,Desconocido,Desconocido
74,BBVA Continental Villa El Salvador,"bank, finance",-12.2118484,-76.9374862,"Avenida Revolución, Villa El Salvador, Sector Segundo Grupo Residencial 10, Lima",3.4,Alto,Efectivo,Mediana,No,Horario laboral,Villa el Salvador,Lima Sur
75,caja prymera,"bank, finance",-12.2074052,-76.9371699,"Sector 2, Grupo 9, Mz. A, Lt. 17, Villa El Salvador (cruce de Avenida Central con Av. Velasco, Avenida Central, Villa EL Salvador",2.2,Bajo,Efectivo,Pequeña,No,Horario laboral,Villa el Salvador,Lima Sur
76,El Rincón Parrillero,"restaurant, food",-12.2104667,-76.93742999999999,"Avenida Jorge Chavez 881, Villa EL Salvador",4.3,Medio,Efectivo,Pequeña,Sí,Horario laboral,Villa el Salvador,Lima Sur
77,Disfraces Los Petalos,"clothing_store, store",-12.2071971,-76.93742089999999,"calle, Avenida Juan Velasco Alvarado Cuadra 6, Villa EL Salvador",4.8,Bajo,Efectivo,Pequeña,Sí,24 horas,Villa el Salvador,Lima Sur
78,Polleria El Gavilan,"restaurant, food",-12.2094788,-76.938926,"Q3R6+6C4, Avenida Revolucion, Villa EL Salvador",4.1,Bajo,Efectivo,Grande,No,24 horas,Villa el Salvador,Lima Sur
79,PERICO,"restaurant, food",-12.2105095,-76.93826709999999,"Avenida Jorge Chavez, Villa EL Salvador",4.5,Medio,Efectivo,Pequeña,No,24 horas,Villa el Salvador,Lima Sur
80,Tambo+ Revolución,"convenience_store, store, food",-12.2092635,-76.9393278,Sec. Segundo Grpo Res.14 Mza. B Lote. 9 P.J. Villa El Salvador (1Er Piso Lima L Revolución,3.8,Medio,Efectivo,Pequeña,No,Fines de semana,Villa el Salvador,Lima Sur
81,Libreria Genesis,store,-12.2114518,-76.93678799999999,"Manzana F, lote 21, Sector 2 Grupo 11, Villa EL Salvador",4.0,Medio,Efectivo,Pequeña,No,Horario laboral,Villa el Salvador,Lima Sur
82,El Padrino de Villa restaurante & cevicheria,"restaurant, food",-12.2113223,-76.9380643,"Sector 2 Grupo 15 Mz H Lt 4, Villa EL Salvador",4.2,Medio,Efectivo,Grande,No,Horario laboral,Villa el Salvador,Lima Sur
83,SERVICIO TECNICO DE CELULARES DENNIS,"electronics_store, store",-12.2086341,-76.9399193,"Avenida Revolucion, Cercado de Lima",4.06,Alto,Transferencia,Grande,Sí,24 horas,Cercado de Lima,Lima Centro
84,La Curacao,"home_goods_store, store",-12.2114706,-76.9379527,"Av. Revolución 1234, Mz H Lt 6, Lima",3.7,Bajo,Transferencia,Pequeña,No,Horario laboral,Desconocido,Desconocido
85,Las Delicias,"bakery, store, food",-12.2079027,-76.93982369999999,"Avenida Revolucion 1693, Lima",4.1,Alto,Efectivo,Pequeña,No,Horario laboral,Desconocido,Desconocido
86,Farmacia Farmanova,"pharmacy, store, health",-12.2079674,-76.940112,Q3R5+RX6,4.0,Bajo,Tarjeta de crédito,Mediana,Sí,Horario laboral,Desconocido,Desconocido
87,LaProgresiva Chicharroneria Gourmet,"restaurant, food",-12.2057986,-76.9378498,"Q3V6+MVJ, Avenida Central, Lima",2.8,Medio,QR,Pequeña,No,Horario laboral,Desconocido,Desconocido
88,El Sherete - Pollos a la parrilla,"restaurant, food",-12.2055511,-76.9379771,"Q3V6+QRC, Avenida Central, Villa EL Salvador",4.2,Alto,QR,Pequeña,Sí,Horario laboral,Villa el Salvador,Lima Sur
89,Creish Donuts,"food, store",-12.2089542,-76.933432,"Manzana C Lote 10 Sector 2 Grupo 5, Villa El Salvador, Lima",4.0,Medio,Transferencia,Mediana,Sí,Horario laboral,Villa el Salvador,Lima Sur
90,Mata Producciones,Sin Categoría,-12.2066704,-76.9340445,"Avenida Separadora Industrial 1828, Villa EL Salvador",5.0,Alto,Transferencia,Pequeña,No,Horario laboral,Villa el Salvador,Lima Sur
91,Poison Tattoo,store,-12.2068237,-76.9404174,"cruce pasaje, Av Revolucion & Villa el Salvador, Lima",4.8,Medio,Tarjeta de crédito,Pequeña,Sí,Horario laboral,Villa el Salvador,Lima Sur
92,Agencia de Viajes Amazonas Turismo for the World,travel_agency,-12.2051097,-76.9382443,"Avenida Central 1567, Villa EL Salvador",4.4,Medio,Efectivo,Pequeña,Sí,Horario laboral,Villa el Salvador,Lima Sur
93,Cevicheria Loco Mar,"meal_takeaway, restaurant, food",-12.2046917,-76.93879129999999,"Avenida Central 1528, Villa EL Salvador",3.8,Medio,Transferencia,Grande,No,Fines de semana,Villa el Salvador,Lima Sur
94,Muebles Pegaso,"home_goods_store, store",-12.2056271,-76.9339614,"Zona Industrial, Parcela 2, Manzana N 1, Lote 9 A media cuadra de la estación final del tren Villa EL Salvador Municipalidad Metropolitana de Lima LIMA",4.5,Medio,Efectivo,Mediana,No,Horario laboral,Villa el Salvador,Lima Sur
95,MARYSOL GYM,"gym, health",-12.2094939,-76.9385654,"Avenida Revolucion s/n, Villa EL Salvador",4.1,Medio,Transferencia,Pequeña,Sí,Horario laboral,Villa el Salvador,Lima Sur
96,TOPOCONST,Sin Categoría,-12.2088624,-76.9370416,"sector 2 grupo 9 manzna d lote 14, Villa EL Salvador",4.32,Medio,Efectivo,Pequeña,No,24 horas,Villa el Salvador,Lima Sur
97,Noah Decor,general_contractor,-12.2088585,-76.9370344,"Sector 2 Grupo 9 Manzana D Lote 14, Villa EL Salvador",5.0,Bajo,Efectivo,Pequeña,No,Fines de semana,Villa el Salvador,Lima Sur
98,Pastora,Sin Categoría,-12.2086124,-76.93710570000002,Avenida 3 de Octubre 15834,4.32,Bajo,Efectivo,Pequeña,No,24 horas,Desconocido,Desconocido
99,Área de Juegos del Sector 2 Grupo 9,Sin Categoría,-12.2087169,-76.9374942,"Q3R6+MQ7, Villa el Salvador",3.0,Alto,Efectivo,Pequeña,No,Horario laboral,Villa el Salvador,Lima Sur
100,Hostal San isidro labrador,lodging,-12.2084128,-76.93708459999999,"Q3R7+J5M, Lima",4.32,Medio,Efectivo,Mediana,No,Horario laboral,Desconocido,Desconocido
101,ANTOJITOS DE MAMA CHELA,"grocery_or_supermarket, food, store",-12.2085058,-76.9368393,"Q3R7+H7V, E, Villa EL Salvador",5.0,Bajo,Transferencia,Mediana,Sí,Horario laboral,Villa el Salvador,Lima Sur
102,IEP EMMANUEL,Sin Categoría,-12.2092095,-76.93662549999999,"Avenida Separadora Industrial & Av. 200 Millas, Villa EL Salvador",4.0600000000000005,Alto,Efectivo,Pequeña,No,Horario laboral,Villa el Salvador,Lima Sur
103,Casa de mamá,Sin Categoría,-12.2092095,-76.93662549999999,"sector 1, grupo 19, mz D, lote 17, Villa EL Salvador",4.0600000000000005,Alto,Transferencia,Grande,No,24 horas,Villa el Salvador,Lima Sur
104,Fray Juan Mckniff OSA Park,park,-12.2089126,-76.93779669999999,"Q3R6+CVP, Lima",3.6,Medio,Efectivo,Pequeña,No,Horario laboral,Desconocido,Desconocido
105,Comedor Popular Cocina Familiar N°2,food,-12.2084246,-76.9376736,"Q3R6+MQ7, Villa el Salvador",5.0,Medio,Transferencia,Pequeña,No,Horario laboral,Villa el Salvador,Lima Sur
106,Losa Deportiva del Sector 2 Grupo 9,Sin Categoría,-12.2090787,-76.93782519999999,"Q3R6+MQ7, Villa el Salvador",4.1,Medio,Transferencia,Pequeña,No,Horario laboral,Villa el Salvador,Lima Sur
107,Audio Car Piero,Sin Categoría,-12.2085235,-76.93646869999999,"Avenida Central 1818, Villa EL Salvador",4.04,Bajo,Efectivo,Grande,No,Fines de semana,Villa el Salvador,Lima Sur
108,Creish Donuts,"store, food",-12.2089542,-76.933432,"Manzana C Lote 10 Sector 2 Grupo 5, Villa El Salvador, Lima",4.0,Bajo,Efectivo,Pequeña,No,Horario laboral,Villa el Salvador,Lima Sur
109,KAPASO S.R.L.,Sin Categoría,-12.207406,-76.9325092,"Calle el cuero Parcela MZ P Lt.14 Parque Industrial de, Villa EL Salvador",4.74,Medio,QR,Grande,Sí,Fines de semana,Villa el Salvador,Lima Sur
110,Cueros Ferrer,Sin Categoría,-12.2068545,-76.93124929999999,"2, P1 Lt.2, Asociación de Propietarios Parcela 23 ""A"" Mz, Chorrillos",5.0,Medio,Tarjeta de crédito,Pequeña,Sí,Horario laboral,Chorrillos,Lima Sur
111,Abril Burga,shopping_mall,-12.2064416,-76.931476,"Q3V9+CCC, Lima",5.0,Bajo,Efectivo,Pequeña,No,Horario laboral,Desconocido,Desconocido
112,SOFA CAMA AMERICANO- SAKURAY MUEBLE PERU,"furniture_store, home_goods_store, store",-12.2060838,-76.9326614,"parque industrial,parcela 2, manzana n, lote 18A villa el salvador",4.7,Medio,Efectivo,Grande,Sí,24 horas,Villa el Salvador,Lima Sur
113,Boulevard Del Cuero,store,-12.2061376,-76.9314868,"Q3V9+GCR, Calle 7, Lima",4.1,Alto,QR,Pequeña,No,Horario laboral,Desconocido,Desconocido
114,Calzatura Tamara,"shoe_store, store",-12.2058889,-76.93151,Jirón Solidaridad Mz. P Lt. 1F Parque Industrial,5.0,Medio,Efectivo,Pequeña,Sí,24 horas,Desconocido,Desconocido
115,Artesanias D'Challco,"furniture_store, home_goods_store, store",-12.2056693,-76.9316817,"Parque Industrial, Villa EL Salvador",4.8,Bajo,Efectivo,Pequeña,Sí,Fines de semana,Villa el Salvador,Lima Sur
116,TIENDAS RODAS,"furniture_store, home_goods_store, store",-12.2055544,-76.93324199999999,"Parcela2, Mz N1, Lt35, parque industrial Villa EL Salvador Gobierno Regional de Lima LIMA",4.2,Medio,Efectivo,Pequeña,No,Horario laboral,Villa el Salvador,Lima Sur
117,MH INDUSTRIAS,general_contractor,-12.2054964,-76.9317609,"Q3V9+R75, Calle 7, Lima",3.0,Medio,QR,Pequeña,No,Horario laboral,Desconocido,Desconocido
118,Muebles Pegaso,"home_goods_store, store",-12.2056271,-76.9339614,"Zona Industrial, Parcela 2, Manzana N 1, Lote 9 A media cuadra de la estación final del tren Villa EL Salvador Municipalidad Metropolitana de Lima LIMA",4.5,Medio,Transferencia,Mediana,Sí,Fines de semana,Villa el Salvador,Lima Sur
119,PERU Z-ART FURNITURE,"furniture_store, home_goods_store, store",-12.2052155,-76.9320684,Mza N lote 36 - PARQUE INDUSTRIAL Calle 7 Villa EL Salvador Municipalidad Metropolitana de Lima LIMA,3.5,Bajo,QR,Pequeña,No,Fines de semana,Villa el Salvador,Lima Sur
120,Multiplacas Servicios-Melamina,"furniture_store, home_goods_store, store",-12.205238,-76.93319749999999,"Mz N Lote 10 Parcela II Parque Industria 15816 LIMA, Villa EL Salvador",4.2,Bajo,Efectivo,Pequeña,Sí,24 horas,Villa el Salvador,Lima Sur
121,INDUSMARC,"food, store",-12.2052859,-76.9339509,"Avenida Juan Velasco Alvarado, Villa EL Salvador",4.0,Alto,Efectivo,Mediana,Sí,24 horas,Villa el Salvador,Lima Sur
122,Muebles Verona,Sin Categoría,-12.2049041,-76.93213639999999,"Jr. Solidaridad Cdra. 7 Mz. M1 Lote 8 Parque Industrial, Villa EL Salvador",3.4,Bajo,Tarjeta de crédito,Pequeña,No,Horario laboral,Villa el Salvador,Lima Sur
123,Petreo-s,Sin Categoría,-12.2048249,-76.9321892,"Calle 7, manzana m 1, lote 7, Villa EL Salvador",4.0,Alto,QR,Pequeña,No,24 horas,Villa el Salvador,Lima Sur
124,INVERSIONES MELLY S.A.C.,store,-12.2048334,-76.9331715,"Mz. N Lt. 06, Avenida Juan Velasco Alvarado, Villa EL Salvador",3.9,Medio,Efectivo,Pequeña,No,Horario laboral,Villa el Salvador,Lima Sur
125,Empresa Miguelito,"clothing_store, store",-12.2054235,-76.9301377,"Calle 5, Villa EL Salvador",4.1,Medio,Transferencia,Mediana,No,Horario laboral,Villa el Salvador,Lima Sur
126,Galería Telas telitas y telotas,Sin Categoría,-12.2044718,-76.9326116,"Parque Industrial, Avenida Solidaridad Mz N, Villa EL Salvador",5.0,Medio,Transferencia,Pequeña,No,Horario laboral,Villa el Salvador,Lima Sur
127,Hospital Uldarico Rocca Fernández,"hospital, health",-12.2111556,-76.9320765,"Avenida César Vallejo 825, Lima",2.5,Bajo,Transferencia,Pequeña,No,Fines de semana,Desconocido,Desconocido
